strategy,fast,slow,ma_type,hold,n_tickers,avg_net,win_rate,t_stat,p_value
SMA20x100_H10,20,100,SMA,10,624,-0.0009012697005494399,0.41346153846153844,-0.3621626638476333,0.7173532906910771
SMA5x200_H5,5,200,SMA,5,564,-0.0005456204122923356,0.5159574468085106,-0.3744486107366852,0.7082115748993245
SMA50x100_H5,50,100,SMA,5,484,-0.0006254133942636392,0.5330578512396694,-0.3822680346326515,0.7024307041324807
SMA50x100_H20,50,100,SMA,20,484,-0.0012865057705410375,0.4690082644628099,-0.39658722451966866,0.6918470327283388
SMA5x200_H10,5,200,SMA,10,564,-0.0010349023114089534,0.45567375886524825,-0.5467134703302541,0.5847922073542451
SMA50x200_H1,50,200,SMA,1,53,-0.0007794386634371679,0.4339622641509434,-0.5567953593532512,0.5800558660546856
EMA10x50_H1,10,50,EMA,1,912,-0.0003507999666278829,0.4594298245614035,-0.6757302241895012,0.49938343274591546
SMA20x200_H5,20,200,SMA,5,246,-0.001378017611280262,0.4349593495934959,-0.7461544919509289,0.4562894326546538
SMA5x200_H3,5,200,SMA,3,564,-0.0010046034121865683,0.46099290780141844,-0.8308042359637168,0.40643641149557796
SMA10x50_H1,10,50,SMA,1,908,-0.0005272531888673934,0.40748898678414097,-0.8700980418098527,0.38447703897604446
EMA5x50_H1,5,50,EMA,1,916,-0.0003582246365142883,0.4585152838427948,-0.8722911377067744,0.3832784050413439
SMA5x200_H1,5,200,SMA,1,564,-0.0006345766710900719,0.4574468085106383,-0.9675221332111757,0.3336985144868855
SMA50x200_H20,50,200,SMA,20,53,-0.00867041706636914,0.2830188679245283,-0.9878309714059015,0.3278097657720437
SMA50x200_H10,50,200,SMA,10,53,-0.007487388790684304,0.3584905660377358,-1.3115849093564804,0.19542179595975134
SMA50x200_H5,50,200,SMA,5,53,-0.005223935533659908,0.3584905660377358,-1.411340041797374,0.16409991332326654
SMA10x100_H10,10,100,SMA,10,763,-0.00268372162544931,0.3709043250327654,-1.436103456910896,0.15138329635349876
SMA50x100_H10,50,100,SMA,10,484,-0.003462854770621164,0.42768595041322316,-1.444614206751107,0.14921467498349722
SMA50x200_H3,50,200,SMA,3,53,-0.003501882881261253,0.33962264150943394,-1.4916083039976622,0.14184397918306607
SMA20x200_H1,20,200,SMA,1,246,-0.0012218539722951129,0.4146341463414634,-1.556385090993605,0.12090733948565535
SMA5x50_H1,5,50,SMA,1,912,-0.0008164452682944059,0.40899122807017546,-1.7229157298305187,0.08524311825226422
SMA10x200_H10,10,200,SMA,10,424,-0.0037243867304925923,0.4056603773584906,-1.8190103035222076,0.06961675562608781
SMA5x200_H20,5,200,SMA,20,564,-0.005060921478386547,0.4078014184397163,-1.8212255751588386,0.06910315411153374
SMA10x200_H1,10,200,SMA,1,424,-0.001677381669902508,0.4080188679245283,-1.865934722819932,0.06274238886945725
SMA20x200_H10,20,200,SMA,10,246,-0.005129559037150983,0.4024390243902439,-1.9798440569725548,0.04884014984324673
SMA20x200_H20,20,200,SMA,20,246,-0.008711413698610265,0.33739837398373984,-2.239537345877745,0.02601871265260341
SMA20x200_H3,20,200,SMA,3,246,-0.0034281389471540404,0.3617886178861789,-2.3931305153777496,0.01745893582380087
SMA20x50_H1,20,50,SMA,1,894,-0.0012966167278652258,0.4015659955257271,-2.428371399418545,0.015363356787263513
SMA10x200_H20,10,200,SMA,20,424,-0.0077573740892481835,0.36556603773584906,-2.5248256563480314,0.011940235426575881
SMA10x200_H3,10,200,SMA,3,424,-0.0034290868401656957,0.43160377358490565,-2.910279246695005,0.003801757680245719
