strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
BullishRibbon,5,RANGE,MID,210605,-0.0018679492054092424,-7.557968009209203,344679,0.0009764224179659859,5.149477058665948,True,True,True,False
BullishRibbon,5,RANGE,SMALL,208800,-0.0008587166398939531,-5.667387274157218,385634,0.0006355920282635391,5.56150938594471,True,True,True,False
BullishRibbon,5,RANGE,ALL,690679,-0.0005296222463432317,-5.095160078136389,1132167,0.0020811614790984486,20.458399399420124,True,True,True,False
BullishRibbon,5,ALL,LARGE,305458,0.0008001529779150548,6.21045365612951,426250,0.004520313749480141,22.426500502607222,True,True,True,True
BullishRibbon,5,ALL,MID,236570,-0.0019681220588257504,-8.622438879906928,364691,0.0011586037756653707,6.313134606798862,True,True,True,False
BullishRibbon,5,ALL,SMALL,234609,-0.0007618020622737204,-5.42737145038155,409891,0.0006678943524113124,6.039193809927372,True,True,True,False
BullishRibbon,5,ALL,ALL,776637,-0.0005149266995474156,-5.36800645187187,1200832,0.0021843854837906677,22.23306752393012,True,True,True,False
BullishRibbon,10,BULL,LARGE,27730,-0.005857205489906582,-11.358536783601284,14821,0.021592736432013808,13.58393210558771,True,True,True,False
BullishRibbon,10,BULL,MID,21096,-0.006341725050801915,-3.707347539181401,12015,0.01580548669449096,11.80804796640868,True,True,True,False
BullishRibbon,10,BULL,SMALL,21374,-0.005026793911544817,-8.658825248369565,14286,0.008886186304173312,12.410407151776718,True,True,True,False
BullishRibbon,10,BULL,ALL,70200,-0.005749971979660764,-9.905238018140063,41122,0.015487498828719555,21.003506626536286,True,True,True,False
BullishRibbon,10,BEAR,LARGE,6454,0.014420552444360593,10.09142198758365,8105,0.0069941871290935135,5.070875736958171,True,True,True,True
BullishRibbon,10,BEAR,MID,4869,-0.0014530049272135897,-0.6876687832737749,6753,0.003939865726924569,2.396167514538704,False,False,False,False
BullishRibbon,10,BEAR,SMALL,4435,0.0007657927965668001,0.555265860665955,8523,-0.0023731755974935663,-2.2332569987787227,False,False,False,False
BullishRibbon,10,BEAR,ALL,15758,0.005672791949363754,5.905498060965799,23381,0.002697370699191091,3.468375355882092,True,True,True,True
BullishRibbon,10,RANGE,LARGE,271274,0.0032295550214432593,16.370372759471042,395811,0.009679403067211904,32.73976107511079,True,True,True,True
