strategy,hold,context1,context2,t_stat,mean_return,type
BearishRibbon,5,ALL,LARGE,21.70681824154116,0.0056998285945407,REGIME
Momentum_5d_Neg,5,ALL,LARGE,21.63684597921045,0.006107528152889,REGIME
Momentum_5d_Pos,10,RANGE,LARGE,21.57097764944488,0.0076975862699511,REGIME
BelowEMA200,20,BULL,MID,21.568859284185383,0.0490138899020177,REGIME
HighVol,1,BEAR,ALL,21.55853887049342,0.0042106467573743,REGIME
Momentum_5d_Neg,5,BEAR,MID,21.50759980694291,0.0167892093902752,REGIME
ZScore_Low,20,BEAR,MID,21.350194675072192,0.0447286002216718,REGIME
BB_Below_Lower,20,BEAR,MID,21.350194675072192,0.0447286002216718,REGIME
AboveEMA200_BullRibbon,10,BULL,ALL,21.325114751710192,0.0153370649297075,REGIME
RSI_Overbought,10,ALL,ALL,21.31766545849561,0.0072588942687176,REGIME
AboveEMA200,10,BULL,LARGE,21.186456665773168,0.0238308845913866,REGIME
BearishRibbon,20,RANGE,LARGE,21.158501086113944,0.0188966689581068,REGIME
After2Down,20,RANGE,ALL,21.145704327907467,0.0153112162857244,REGIME
BullishRibbon,5,RANGE,LARGE,21.13888264258367,0.0044159424802962,REGIME
BelowEMA200,5,ALL,LARGE,21.12057566758918,0.0073280858290547,REGIME
Momentum_5d_Pos,20,BULL,LARGE,21.091258504248263,0.0462687433427121,REGIME
HighVol,20,ALL,SMALL,21.03312801824481,0.0080978890303927,REGIME
Momentum_20d_Pos,5,RANGE,LARGE,21.01905227370433,0.0042281443675198,REGIME
After3Down,5,BEAR,LARGE,21.009867074396222,0.0349263163034828,REGIME
BullishRibbon,10,BULL,ALL,21.00350662653629,0.0154874988287195,REGIME
BullishRibbon,20,BULL,ALL,20.99019405920072,0.0237052191998167,REGIME
Far_From_High,20,RANGE,LARGE,20.91264560899264,0.0311299949730539,REGIME
BelowEMA200,20,RANGE,LARGE,20.906786794871927,0.0240764747173771,REGIME
AboveEMA200_BullRibbon,5,ALL,LARGE,20.90051052756319,0.0037831787380728,REGIME
Momentum_60d_Pos,5,RANGE,LARGE,20.859683768897035,0.0042487436689409,REGIME
Momentum_20d_Neg,20,ALL,LARGE,20.819932473170525,0.0187631360492248,REGIME
BelowEMA200,20,ALL,SMALL,20.818442924856736,0.0136653926771474,REGIME
RSI_Oversold,10,ALL,ALL,20.745246465021243,0.0162822297692176,REGIME
RSI_Extreme_Overbought,20,BULL,ALL,20.739009882676054,0.0262187261719789,REGIME
BB_Narrow,5,BULL,LARGE,20.695620705528377,0.025312657635068,REGIME
Momentum_5d_Neg,10,ALL,SMALL,20.64826287083184,0.0072732996233447,REGIME
Momentum_5d_Neg,10,RANGE,LARGE,20.607810863734382,0.0097579178596672,REGIME
BelowEMA200,5,BULL,SMALL,20.55018368508497,0.0119135573801234,REGIME
RSI_Oversold,5,BEAR,MID,20.55016141263367,0.0252791527058092,REGIME
Momentum_5d_Neg,20,RANGE,LARGE,20.54796825398359,0.0201102662216418,REGIME
Momentum_60d_Pos,5,RANGE,ALL,20.47387619616803,0.0022239610537971,REGIME
BullishRibbon,5,RANGE,ALL,20.458399399420124,0.0020811614790984,REGIME
RSI_Extreme_Oversold,10,BEAR,MID,20.38005730107686,0.055614567804784,REGIME
ZScore_Low,10,BEAR,MID,20.37292539224883,0.0334269391162262,REGIME
BB_Below_Lower,10,BEAR,MID,20.37292539224883,0.0334269391162262,REGIME
Momentum_20d_Pos,10,BULL,SMALL,20.32103490328175,0.0119315692283962,REGIME
After3Down,10,BEAR,MID,20.30888790174545,0.0462505863823227,REGIME
HighVol,5,BEAR,SMALL,20.283528359807008,0.011121805220347,REGIME
BearishRibbon,20,ALL,SMALL,20.168979822523017,0.0108238264471201,REGIME
Momentum_5d_Neg,20,ALL,SMALL,20.168126485955664,0.0109209515127294,REGIME
BearishRibbon,1,BEAR,LARGE,20.092131600027464,0.0075031547714057,REGIME
Momentum_5d_Pos,10,BULL,LARGE,20.02327358986672,0.0277569466928464,REGIME
AboveEMA200_BullRibbon,20,BULL,ALL,19.996773661682862,0.0229026648881817,REGIME
BB_Narrow,10,BULL,LARGE,19.90544333452161,0.0408684755016693,REGIME
RSI_Overbought,10,BULL,SMALL,19.89633074524556,0.0137540882916408,REGIME
Oversold_After2Down,20,BEAR,SMALL,19.89583356523731,0.0438332280651584,REGIME
BB_Narrow,20,BULL,ALL,19.86933463249716,0.0529463010859573,REGIME
AboveEMA200,5,BULL,ALL,19.85644480740151,0.0073692255674502,REGIME
ZScore_Low,10,BEAR,SMALL,19.81089167497676,0.0316557545187901,REGIME
BB_Below_Lower,10,BEAR,SMALL,19.81089167497676,0.0316557545187901,REGIME
Far_From_High,10,RANGE,LARGE,19.59966584576505,0.0129212647291904,REGIME
BearishRibbon,5,BULL,LARGE,19.560493576907326,0.0221586746793884,REGIME
