strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom30_H10_T30,30,10,0.7,500,-0.002359556042973139,-0.002777356042973139,0.424,-1.933645932054451,0.053721891114507384
Mom10_H10_T9,10,10,0.9,499,-0.003075877763148308,-0.0035073406890000114,0.46693386773547096,-1.934399348290566,0.053630142957064184
Mom60_H20_T30,60,20,0.7,500,-0.0048222822054599076,-0.005241082205459907,0.476,-1.951327280689642,0.05157728187414375
Mom20_H20_T5,20,20,0.95,473,-0.009569076862436304,-0.009968442612964845,0.46511627906976744,-1.9602982224694063,0.050548781739078875
Mom5_H2_T19,5,2,0.8,499,-0.00038384343979537897,-0.0007826410349857597,0.44288577154308617,-2.0533457569194336,0.04056079696156497
Mom5_H1_T30,5,1,0.7,499,4.009163400095578e-05,-0.00038756367662028666,0.3727454909819639,-2.0903479326625143,0.03709306594930544
Mom2_H5_T9,2,5,0.9,500,-0.001379441562718583,-0.0018020415627185832,0.5,-2.11575750122622,0.03486017939308997
Mom15_H3_T30,15,3,0.7,499,-0.00047734338456212853,-0.0008963814607144333,0.3226452905811623,-2.134653614243614,0.033276894560689496
Mom20_H10_T19,20,10,0.8,499,-0.0025975029384709947,-0.0030331742811563643,0.42685370741482964,-2.1836497302750906,0.029453931946839415
Mom10_H5_T19,10,5,0.8,500,-0.0016485321014053742,-0.0020565321014053752,0.458,-2.204740088445271,0.02792785739459456
Mom3_H1_T19,3,1,0.8,499,-9.504179173028942e-05,-0.000533518745638105,0.3907815631262525,-2.266013641974407,0.02387893718520167
Mom1_H1_T9,1,1,0.9,500,-0.00029107798130323614,-0.0006966779813032362,0.416,-2.3033629543172656,0.021668686128973637
Mom3_H3_T9,3,3,0.9,500,-0.0013099955657162638,-0.0017141955657162642,0.466,-2.357797621264714,0.018768697380906817
Mom15_H2_T19,15,2,0.8,498,-0.0007928583446652756,-0.0012055089470749145,0.3112449799196787,-2.4105365957684244,0.016291111051343996
Mom20_H30_T19,20,30,0.8,500,-0.00829853909047895,-0.00872313909047895,0.528,-2.4871586044543474,0.01320244759343671
Mom3_H2_T30,3,2,0.7,500,-0.00014636687200648684,-0.0005749668720064869,0.452,-2.4951892584663002,0.012911039169390494
Mom30_H10_T19,30,10,0.8,500,-0.003167681256918595,-0.0035594812569185947,0.422,-2.518909348951433,0.012083358248117794
Mom2_H2_T9,2,2,0.9,500,-0.001177806619805603,-0.0015968066198056028,0.476,-2.5272927098871225,0.011802316794715807
Mom10_H1_T9,10,1,0.9,500,-0.0005010901979559431,-0.0009010901979559431,0.378,-2.611989347808411,0.009272928986706194
Mom20_H60_T5,20,60,0.95,469,-0.020436820485885437,-0.020840445219360914,0.4861407249466951,-2.653054166406129,0.008247906712317983
Mom10_H10_T5,10,10,0.95,481,-0.007072382293008248,-0.0074603240809500366,0.4282744282744283,-2.6598094517200703,0.008080007016434588
Mom5_H3_T5,5,3,0.95,475,-0.003145480000976464,-0.00351895368518699,0.391578947368421,-2.6954263863071555,0.007279748620943852
Mom3_H2_T9,3,2,0.9,499,-0.0008878813697363238,-0.0012983022114196904,0.4649298597194389,-2.807667401012339,0.00518597459345853
Mom10_H15_T5,10,15,0.95,462,-0.008435961547342054,-0.008829900941281449,0.45454545454545453,-2.8991187026035954,0.003920715884101136
Mom1_H1_T5,1,1,0.95,480,-0.0013119641505926225,-0.001709880817259289,0.3645833333333333,-2.9187930515198324,0.0036792909024907804
Mom3_H5_T5,3,5,0.95,471,-0.003770909009942813,-0.004182586292320733,0.4543524416135881,-2.929926402261006,0.0035554059357513334
Mom15_H2_T9,15,2,0.9,498,-0.001068037499119626,-0.0014714511537381,0.3313253012048193,-2.9506387427778495,0.0033208590165789593
Mom20_H2_T19,20,2,0.8,500,-0.0007748043335705504,-0.0011840043335705505,0.37,-2.9671004272039756,0.0031504911719714176
Mom30_H2_T30,30,2,0.7,499,-0.0007660697800031512,-0.0012071519443318088,0.3306613226452906,-3.007228287344054,0.0027696721346781345
Mom10_H3_T5,10,3,0.95,481,-0.002495605424770642,-0.0029213850505502683,0.45114345114345117,-3.059421220360771,0.0023417072795256892
Mom10_H2_T30,10,2,0.7,500,-0.0004114734026436729,-0.000841273402643673,0.392,-3.0813503751859095,0.0021744576087516817
Mom15_H2_T30,15,2,0.7,499,-0.0007955581875632135,-0.001219405882953995,0.2905811623246493,-3.1436034762596083,0.0017683662734342645
Mom30_H3_T19,30,3,0.8,500,-0.0014646474109096307,-0.0019028474109096308,0.344,-3.17369094731011,0.0015980118182139546
Mom60_H10_T19,60,10,0.8,498,-0.007403998903803926,-0.007832111353603123,0.3473895582329317,-3.2330435787891845,0.0013061679819541894
Mom90_H10_T30,90,10,0.7,495,-0.005413445636808164,-0.0058170820004445276,0.4,-3.2605301008494174,0.0011888084111838556
Mom20_H5_T9,20,5,0.9,495,-0.0032105969878366224,-0.0036031222403618756,0.3838383838383838,-3.291026154487247,0.001069614005606333
Mom10_H1_T30,10,1,0.7,500,-9.503568588661771e-05,-0.0005098356858866177,0.356,-3.344282910269271,0.0008870271916783805
Mom3_H1_T30,3,1,0.7,497,-0.00011789027003871632,-0.0005386146161151751,0.3501006036217304,-3.3751728749819203,0.0007955376469348683
Mom20_H1_T30,20,1,0.7,499,-0.00016984115685904483,-0.0005934884514482231,0.3106212424849699,-3.3876718164654425,0.0007607137493768652
