strategy,mean_return,n,t_stat,significant,hypothesis,law,regime
Uptrend5_50pct_H10,1.1356066655166,14329,0.9763557704975268,False,INERTIA,INERTIA,
Downtrend5_50pct_H10,0.04366131237654858,4307,1.4403848721115984,False,REVERSAL,INERTIA,
Uptrend5_50pct_H20,5.7596435642292265,14105,2.352605211764719,False,INERTIA,INERTIA,
Downtrend5_50pct_H20,0.05062982878356397,4235,1.515757787709442,False,REVERSAL,INERTIA,
Uptrend5_50pct_H40,6.679330332396016,13711,2.7521449918342347,False,INERTIA,INERTIA,
Downtrend5_50pct_H40,0.03402404587359399,3982,0.9171397018890552,False,REVERSAL,INERTIA,
Uptrend10_10pct_H1,0.00010474309892890166,375065,0.6288752534191102,False,INERTIA,INERTIA,
Downtrend10_10pct_H1,0.1611054223188404,397898,1.0256684848850146,False,REVERSAL,INERTIA,
Uptrend10_10pct_H5,0.002586791958500147,372121,6.991492752440513,True,INERTIA,INERTIA,
Downtrend10_10pct_H5,0.23539803649892146,394593,1.379900407048292,False,REVERSAL,INERTIA,
Uptrend10_10pct_H10,0.16131561088227656,364517,1.3278565805427653,False,INERTIA,INERTIA,
Downtrend10_10pct_H10,0.25273027643534407,392621,2.187985048338281,False,REVERSAL,INERTIA,
Uptrend10_10pct_H20,0.2784942125839327,356339,2.691670068902565,False,INERTIA,INERTIA,
Downtrend10_10pct_H20,0.4543238347585095,382812,2.255619562718216,False,REVERSAL,INERTIA,
Uptrend10_10pct_H40,0.24766186993321718,344831,3.046240206135646,True,INERTIA,INERTIA,
Downtrend10_10pct_H40,0.6290497592195784,356387,3.282398194186998,True,REVERSAL,INERTIA,
Uptrend10_20pct_H1,-0.00040388910231035674,145319,-1.0890554386289144,False,REVERSAL,INERTIA,
Downtrend10_20pct_H1,0.48871153502854614,129980,1.0163760074949864,False,REVERSAL,INERTIA,
Uptrend10_20pct_H5,0.00024709534894838946,144352,0.314257120298756,False,INERTIA,INERTIA,
Downtrend10_20pct_H5,0.7004604233102921,128815,1.3404418163290106,False,REVERSAL,INERTIA,
Uptrend10_20pct_H10,0.4036144538784199,141606,1.2906464117431142,False,INERTIA,INERTIA,
Downtrend10_20pct_H10,0.7343937721985412,128105,2.0745270928069472,False,REVERSAL,INERTIA,
Uptrend10_20pct_H20,0.6865763606020792,138661,2.582233329050771,False,INERTIA,INERTIA,
Downtrend10_20pct_H20,1.3445980911557887,124240,2.1665857188202717,False,REVERSAL,INERTIA,
Uptrend10_20pct_H40,0.5751979612642288,134455,2.7587986650622227,False,INERTIA,INERTIA,
Downtrend10_20pct_H40,1.8675325488258963,113900,3.114530666724357,True,REVERSAL,INERTIA,
Uptrend10_30pct_H1,-0.0014912223828633096,74829,-2.3285882258962247,False,REVERSAL,INERTIA,
Downtrend10_30pct_H1,1.2835316715503498,49252,1.0114766445572634,False,REVERSAL,INERTIA,
Uptrend10_30pct_H5,-0.004077884820107401,74323,-3.0769651361073995,True,REVERSAL,INERTIA,
Downtrend10_30pct_H5,1.8261285892880665,48750,1.322532374411808,False,REVERSAL,INERTIA,
Uptrend10_30pct_H10,0.7729746766520241,73069,1.2754367301672587,False,INERTIA,INERTIA,
Downtrend10_30pct_H10,1.551771176909003,48471,1.7833770986975466,False,REVERSAL,INERTIA,
Uptrend10_30pct_H20,1.3060960656226301,71698,2.540062518327656,False,INERTIA,INERTIA,
Downtrend10_30pct_H20,3.1930703497434174,46921,1.980043591429764,False,REVERSAL,INERTIA,
Uptrend10_30pct_H40,1.0712801521129294,69560,2.658310518090543,False,INERTIA,INERTIA,
