strategy,fast,slow,signal,hold,n_tickers,avg_net,win_rate,t_stat,p_value
MACD12_21_11_H15,12,21,11,15,994,0.0060701196484493625,0.6247484909456741,4.291181783330375,1.95112578343818e-05
MACD8_26_11_H15,8,26,11,15,996,0.005767247797263225,0.6315261044176707,4.287965940445874,1.9786921187532064e-05
MACD12_26_7_H5,12,26,7,5,996,0.0025160579248225652,0.6024096385542169,4.281692595642248,2.0342743323974207e-05
MACD12_30_9_H5,12,30,9,5,994,0.002610662789786201,0.5905432595573441,4.275678540622551,2.089336862704098e-05
MACD16_21_9_H10,16,21,9,10,993,0.004049399352892512,0.5901309164149043,4.272072886351929,2.122987837882518e-05
MACD16_26_9_H15,16,26,9,15,993,0.006273715437083521,0.6072507552870091,4.268266979522549,2.158859367279707e-05
MACD20_26_9_H15,20,26,9,15,991,0.006011042688348763,0.5923309788092835,4.267707837592343,2.1645732602830817e-05
MACD8_30_11_H3,8,30,11,3,995,0.001809022549062041,0.5728643216080402,4.262855885619323,2.2104557334763817e-05
MACD12_26_11_H10,12,26,11,10,992,0.00407097608409668,0.5776209677419355,4.253686020537104,2.301916227371994e-05
MACD12_21_7_H5,12,21,7,5,998,0.0022504325955327426,0.5901803607214429,4.232154573322989,2.528116749918409e-05
MACD12_26_11_H5,12,26,11,5,992,0.002660008735642806,0.5826612903225806,4.231302501569266,2.5388829738325605e-05
MACD8_30_11_H5,8,30,11,5,995,0.0024666328246681006,0.6010050251256281,4.225332278971771,2.6052243600395166e-05
MACD8_21_9_H5,8,21,9,5,998,0.0022690878937499967,0.5891783567134269,4.224149946391053,2.6180096706494555e-05
MACD12_35_9_H10,12,35,9,10,992,0.0040755380907272635,0.5957661290322581,4.212145640055379,2.7599773895031007e-05
MACD16_21_9_H15,16,21,9,15,993,0.00582884348167761,0.6072507552870091,4.210709835381554,2.7770259542540675e-05
MACD12_35_9_H5,12,35,9,5,992,0.002624563492112429,0.5866935483870968,4.210484727203387,2.7799869136655264e-05
MACD20_21_9_H3,20,21,9,3,993,0.0020054858616390314,0.5730110775427996,4.206626366097202,2.826759911427012e-05
MACD8_30_11_H15,8,30,11,15,995,0.005613707591664772,0.614070351758794,4.197010926170942,2.9467369969662888e-05
MACD12_30_11_H10,12,30,11,10,993,0.004160576050815339,0.5770392749244713,4.1902123169358285,3.0353597901098388e-05
MACD8_35_11_H3,8,35,11,3,996,0.001803648870774536,0.5843373493975904,4.170771693199444,3.300559103745368e-05
MACD8_35_9_H3,8,35,9,3,996,0.001765462319673559,0.5773092369477911,4.164288413814192,3.394086470944781e-05
MACD16_21_11_H15,16,21,11,15,992,0.0057819074684935575,0.6008064516129032,4.152232890018793,3.5759142435938614e-05
MACD20_30_9_H15,20,30,9,15,989,0.005776278678866204,0.5773508594539939,4.147250433312082,3.65413841327463e-05
MACD16_21_7_H15,16,21,7,15,996,0.005486512511425305,0.6204819277108434,4.146729320540961,3.660218980204467e-05
MACD12_30_11_H5,12,30,11,5,993,0.0027126506267869184,0.5730110775427996,4.146110315613283,3.6708515881303884e-05
MACD20_21_9_H5,20,21,9,5,993,0.00265913694290468,0.5699899295065458,4.144930769721809,3.6894734318125094e-05
MACD16_21_11_H3,16,21,11,3,992,0.0019381020868362423,0.5776209677419355,4.131530398050177,3.907749876780104e-05
MACD20_26_7_H3,20,26,7,3,991,0.001932587147458163,0.5731584258324924,4.125303689796782,4.0134734935501324e-05
MACD20_21_7_H5,20,21,7,5,994,0.0024617735964360156,0.5875251509054326,4.120787593534242,4.090625767164649e-05
MACD12_21_9_H15,12,21,9,15,996,0.005789019936088736,0.6355421686746988,4.100735058834031,4.454589636697908e-05
MACD20_26_7_H15,20,26,7,15,991,0.005858742178606109,0.6074672048435923,4.094937095841324,4.567419607875656e-05
MACD20_35_9_H15,20,35,9,15,989,0.005836747455377353,0.564206268958544,4.093983837686043,4.58665271666334e-05
MACD12_35_9_H3,12,35,9,3,992,0.0019181268767283618,0.5846774193548387,4.091838709859817,4.627493611889543e-05
