category,strategy,mean,n,t,significant
COMBO,COMBO_Triple_Oversold_H10,0.01749168741567457,456019,28.148922042199594,True
COMBO,COMBO_RSI30_MACDup_H20,0.01828637258729436,1242,1.255215266600203,False
COMBO,COMBO_RSI30_WillR80_H20,0.024974900954726428,333976,17.821060644505263,True
COMBO,COMBO_StrongTrend_Pullback_H20,0.01871884375539067,696909,25.151620568106658,True
COMBO,COMBO_LowVol_MACDpos_H20,0.005284468159970052,838221,43.66498090183596,True
COMBO,COMBO_CCI100_RSI30_H20,0.02404547194702212,247170,20.776373804664257,True
COMBO,COMBO_MACD_ADX_BestMo_H20,0.02827556267530439,507255,68.77309467930912,True
COMBO,COMBO_Triple_Oversold_H20,0.02228051972429324,445606,27.58202388454586,True
OBV,OBV_AboveMA_H1,0.00045346629515708955,2266033,5.768491710432291,True
OBV,OBV_BelowMA_H1,0.030814457726786173,2106411,1.0385415634346922,False
OBV,OBV_BearishDiv_H1,-0.00010138551154650117,111784,-0.6307241329072922,False
OBV,OBV_BullishDiv_H1,0.00362547735270944,182118,3.968333768677368,True
OBV,OBV_AboveMA_H5,0.051494464305954425,2243925,1.6878599044331142,False
OBV,OBV_BelowMA_H5,0.016620481762338556,2090515,1.3898046785992741,False
OBV,OBV_BearishDiv_H5,0.0038945435861745107,110568,7.371204385619775,True
OBV,OBV_BullishDiv_H5,0.3550280366471595,180748,1.0267370172323425,False
OBV,OBV_AboveMA_H10,0.09358374840020763,2213954,2.958563590508931,False
OBV,OBV_BelowMA_H10,0.019531256647314893,2072981,1.760212505573015,False
OBV,OBV_BearishDiv_H10,0.008479013679569627,109289,10.33168595259833,True
OBV,OBV_BullishDiv_H10,0.43478418025276827,178994,1.7973041473913185,False
OBV,OBV_AboveMA_H20,0.12060642413423822,2163860,4.139485397684617,True
OBV,OBV_BelowMA_H20,0.07570286711397922,2028065,2.1201069735917986,False
OBV,OBV_BearishDiv_H20,0.01650120224793271,107427,15.445586960008072,True
OBV,OBV_BullishDiv_H20,0.4063376508680806,174068,1.8373714058723047,False
