strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI7_OV25_H1,7,25,1,oversold,998,0.0022735724021857623,0.001860746750883157,0.6533066132264529,5.753539322414413,1.16210510053386e-08
RSI20_OV25_H1,20,25,1,oversold,691,0.004608684621144766,0.0042361810031997585,0.6454413892908828,5.752768086131399,1.3198655127010794e-08
RSI25_OV25_H5,25,25,5,oversold,467,0.013409453598839993,0.013054421478925644,0.6338329764453962,5.702968278994831,2.0938326850395304e-08
RSI7_OV20_H1,7,20,1,oversold,991,0.0025609339119577893,0.0021510449109487075,0.6437941473259334,5.622745042163514,2.444062886054176e-08
RSI20_OV25_H3,20,25,3,oversold,691,0.011542672256544269,0.011170168638599261,0.6772793053545586,5.242880959135287,2.1042052228643974e-07
RSI25_OV20_H5,25,20,5,oversold,189,0.0219309823599131,0.021596061724992472,0.6402116402116402,3.959364158842782,0.0001065221866608097
RSI25_OV25_H1,25,25,1,oversold,467,0.004279915570833574,0.003924883450919226,0.5588865096359743,3.72198793791294,0.00022181054395744622
RSI25_OV20_H3,25,20,3,oversold,189,0.013760323583089712,0.013425402948169077,0.6243386243386243,3.209762166759215,0.0015622914514329584
RSI20_OV20_H5,20,20,5,oversold,360,0.017607341020436658,0.017255674353769988,0.5861111111111111,2.9665755665159033,0.003213053281797995
RSI20_OV20_H1,20,20,1,oversold,360,0.006431680996479742,0.006080014329813076,0.5222222222222223,2.757361134213127,0.0061248586345638584
RSI30_OV25_H1,30,25,1,oversold,305,0.006013284132503707,0.005680169378405345,0.5573770491803278,2.738821612995889,0.006529857532094554
RSI20_OV20_H3,20,20,3,oversold,360,0.014987562955647024,0.014635896288980356,0.5722222222222222,2.6993449203157143,0.0072762321302229805
RSI30_OV25_H3,30,25,3,oversold,305,0.014603649326136834,0.014270534572038475,0.5573770491803278,2.698037870576765,0.007364586735779715
RSI25_OV20_H1,25,20,1,oversold,189,0.0043168025193459246,0.00398188188442529,0.5132275132275133,2.384410653011519,0.018101479846990582
RSI7_OV65_H20,7,65,20,overbought,1000,0.002706107678621865,0.0022926076786218656,0.536,1.5838746145092486,0.11353874885199441
RSI30_OV20_H3,30,20,3,oversold,102,0.005719687031278188,0.005365765462650735,0.4803921568627451,1.075220719884661,0.28483778845524826
RSI7_OV70_H20,7,70,20,overbought,999,0.002006900319725086,0.0015932867061114724,0.5145145145145145,1.0368898342089752,0.30003836450469595
RSI7_OV65_H15,7,65,15,overbought,1000,0.001554111844810815,0.0011406118448108154,0.507,1.0033976878024697,0.3159119928078876
RSI10_OV65_H20,10,65,20,overbought,998,0.0015832741307772167,0.001169546675867397,0.49799599198396793,0.7634761008694844,0.4453601318004966
RSI30_OV20_H1,30,20,1,oversold,102,0.0012185773883022508,0.0008646558196747997,0.49019607843137253,0.5628735501757879,0.5747683417113445
RSI7_OV70_H15,7,70,15,overbought,999,0.0009924829013451017,0.0005788692877314878,0.4894894894894895,0.47325992377087733,0.6361312456209451
RSI30_OV80_H10,30,80,10,overbought,167,0.004831819848136775,0.004449185117597856,0.5508982035928144,0.4464217284779149,0.6558744458732838
RSI7_OV75_H20,7,75,20,overbought,999,0.0011052570789565383,0.0006916434653429244,0.4974974974974975,0.40664503842637345,0.6843559008302221
RSI30_OV80_H1,30,80,1,overbought,167,0.0008248559399190575,0.00044222120938013554,0.49101796407185627,0.3072250614425673,0.7590571497849907
RSI30_OV80_H5,30,80,5,overbought,167,0.001317133858377048,0.0009344991278381268,0.5089820359281437,0.1810496790515992,0.8565494445586861
RSI7_OV65_H10,7,65,10,overbought,1000,0.0005312851226304499,0.00011778512263044987,0.475,0.14160190767832018,0.8874230093707611
RSI10_OV65_H15,10,65,15,overbought,998,0.0005408928597228568,0.00012716540481303725,0.4849699398797595,0.10482796556662777,0.9165334036818922
RSI25_OV80_H1,25,80,1,overbought,316,0.0003883302023161685,-9.138152114211829e-06,0.40822784810126583,-0.009872510894724709,0.9921292534375439
RSI14_OV65_H20,14,65,20,overbought,996,0.00029213912435478506,-0.00012111388769340807,0.5110441767068273,-0.06877150232442063,0.9451853198241223
RSI30_OV80_H3,30,80,3,overbought,167,5.995830851744247e-05,-0.00032267642202148025,0.5029940119760479,-0.08793051074002138,0.9300378919122834
RSI7_OV75_H15,7,75,15,overbought,999,-5.551660209696769e-05,-0.0004691302157105819,0.4724724724724725,-0.3466830707448828,0.7289025126985356
RSI7_OV70_H10,7,70,10,overbought,999,4.592137386923752e-05,-0.00036769223974437586,0.46046046046046046,-0.4105333663694575,0.6815028535852434
RSI7_OV80_H20,7,80,20,overbought,995,-0.0005207359465609073,-0.000933198258118696,0.4814070351758794,-0.4969049378581238,0.619365969450092
RSI10_OV70_H20,10,70,20,overbought,997,-0.0004901256101231423,-0.0009032650283779072,0.4974924774322969,-0.5384861506460564,0.5903617840476221
RSI25_OV80_H3,25,80,3,overbought,316,-0.0009051773323583655,-0.0013026456867887457,0.40822784810126583,-0.5966998185345246,0.5511364126289502
RSI7_OV65_H5,7,65,5,overbought,1000,9.517312752475546e-05,-0.00031832687247524436,0.428,-0.6471885506424915,0.5176586002885719
RSI14_OV65_H15,14,65,15,overbought,996,-0.000703547989148651,-0.0011168010011968447,0.46686746987951805,-0.783973229421138,0.43324240286943927
RSI10_OV70_H15,10,70,15,overbought,997,-0.000929639537493701,-0.001342778955748465,0.4633901705115346,-0.9789900349574779,0.3278226306174714
RSI7_OV80_H15,7,80,15,overbought,995,-0.0011302577234854438,-0.0015427200350432327,0.4542713567839196,-1.0201205434622311,0.3079195102711936
RSI7_OV75_H10,7,75,10,overbought,999,-0.0006553135208551816,-0.0010689271344687952,0.44844844844844844,-1.0365715311587227,0.30018667496669044
RSI20_OV80_H1,20,80,1,overbought,537,-0.00019557654154450074,-0.0005903623888443143,0.4264432029795158,-1.1048921835248962,0.2697020309328646
RSI30_OV75_H3,30,75,3,overbought,448,-0.0013746441227957707,-0.0017621441227957705,0.4642857142857143,-1.1281525707585665,0.25986063585462693
RSI30_OV75_H1,30,75,1,overbought,448,-0.0003047354210977093,-0.0006922354210977094,0.39955357142857145,-1.3149865932883948,0.18918860322707762
RSI10_OV65_H10,10,65,10,overbought,998,-0.0007887362244742562,-0.0012024636793840763,0.44188376753507014,-1.3345088230538495,0.18234184943051823
RSI14_OV65_H10,14,65,10,overbought,996,-0.0011886167853912208,-0.001601869797439414,0.45582329317269077,-1.4637248693176534,0.14358497231665032
RSI10_OV75_H20,10,75,20,overbought,993,-0.0024835121902308586,-0.0028954960774413316,0.47532729103726085,-1.5327984820543037,0.12564435239195518
RSI20_OV80_H3,20,80,3,overbought,537,-0.0020887051077271273,-0.0024834909550269413,0.39106145251396646,-1.6903169718454474,0.09154874413485127
RSI20_OV80_H10,20,80,10,overbought,537,-0.005356329253727369,-0.005751115101027184,0.42830540037243947,-1.724984501727997,0.08510670680827963
RSI10_OV75_H15,10,75,15,overbought,993,-0.0023553661290186666,-0.0027673500162291404,0.44511581067472306,-1.7582905680280643,0.07900642587595191
RSI7_OV80_H10,7,80,10,overbought,995,-0.0016615157477504674,-0.0020739780593082564,0.43517587939698493,-1.8247431286615607,0.06833983933811501
RSI7_OV70_H5,7,70,5,overbought,999,-0.0005672208506530296,-0.000980834464266643,0.4024024024024024,-1.8275757642229347,0.06791171334597636
RSI14_OV70_H20,14,70,20,overbought,993,-0.003373971939988967,-0.00378595582719944,0.4692849949647533,-1.829515660882631,0.06762241327810717
RSI25_OV75_H15,25,75,15,overbought,640,-0.0067324760721726735,-0.007124663572172672,0.478125,-1.8499379640905314,0.06478397911073334
RSI14_OV80_H20,14,80,20,overbought,862,-0.0056550207929650055,-0.006056528913614657,0.4976798143851508,-1.9151595526946195,0.055803200609077536
RSI10_OV65_H5,10,65,5,overbought,998,-0.00067658599693421,-0.0010903134518440297,0.4198396793587174,-2.040129904560398,0.041600492141919014
RSI20_OV80_H5,20,80,5,overbought,537,-0.0037294446559513307,-0.0041242305032511434,0.39106145251396646,-2.083847383371498,0.03764713004128402
RSI7_OV65_H3,7,65,3,overbought,1000,-0.00023180097805806132,-0.0006453009780580614,0.408,-2.1089101974638904,0.03520072681653908
RSI14_OV70_H15,14,70,15,overbought,993,-0.0034985901114569285,-0.003910573998667402,0.45417925478348437,-2.2749930099085827,0.02311903998843553
RSI7_OV75_H5,7,75,5,overbought,999,-0.0010492405996401204,-0.0014628542132537347,0.3813813813813814,-2.298923586018065,0.0217151404558437
RSI10_OV70_H10,10,70,10,overbought,997,-0.0020906419997387326,-0.002503781417993497,0.41624874623871616,-2.377170156936345,0.01763408178949009
