ticker,rsi_threshold,hold_days,vol_multiplier,num_trades,win_rate,avg_win,avg_loss,expected_value,sharpe,score
S_365,34,7,1.5,8,100.0,5.791985212644499,0.0,5.791985212644499,1.5048219899865327,3.014066622150941
ESTC_365,26,11,1.0,12,100.0,11.103372982570006,0.0,11.103372982570006,2.5756105418288913,10.093779529993855
DOCN_365,34,2,1.0,5,60.0,19.9006078223992,-11.217620973226145,7.453316304149062,0.3920926128122917,2.0094485892277785
VRNS_365,34,6,1.0,15,86.66666666666667,6.168933941053861,-1.0102058920515997,5.211715296639798,1.4478305376967087,5.040638556518272
AMPL_365,28,3,1.0,6,83.33333333333334,9.130281850662286,-6.403409126184956,6.541333354521079,0.8997669761835132,2.315540550312671
ONON_365,28,11,1.0,20,60.0,9.556244390516442,-4.314367832655027,4.007999501247855,0.4197535078724677,4.344473871287833
CELH_365,30,11,1.0,21,61.904761904761905,20.371335258215066,-10.622185003814359,8.564279920299095,0.49590521112913,9.413694128708071
ELF_365,14,1,1.0,5,100.0,6.22918177759544,0.0,6.22918177759544,1.843428483530756,2.131448000294369
SYM_365,34,4,1.0,7,85.71428571428571,31.68344182948164,-8.871896833076521,25.88982202054476,1.0789070548913342,11.016727521139938
SERV_365,32,11,1.0,5,80.0,30.169165937771353,-6.889954834166072,22.75734178338387,0.9633332022576736,6.785480592598944
AMBA_365,26,11,1.0,6,100.0,10.957941797442372,0.0,10.957941797442372,2.0035890503066756,4.604695271187914
REKR_365,34,11,1.0,13,61.53846153846154,18.98680654085353,-11.328383373703284,7.327118112177833,0.3989461027218145,5.1426330508702405
LAZR_365,22,11,1.0,8,75.0,10.596445803882297,-19.14540117042131,3.1609840603063954,0.21089181204373825,1.3177236766281093
INVZ_365,16,11,1.0,5,80.0,26.01794698065855,-1.5037668789816911,20.513604208730502,0.9583201165201994,6.111331030960619
OUST_365,32,11,1.0,8,87.5,22.01252827261098,-7.352940145248341,18.34184472037856,0.9522652067676507,8.734041932563539
CRNC_365,34,11,1.0,7,100.0,22.246151655080578,0.0,22.246151655080578,1.7597294827768852,10.526457705482178
AEVA_365,26,11,1.0,19,84.21052631578947,54.67531249833531,-4.831774983775852,45.27945658010723,0.9698279497017986,51.359007433454295
NVDA_365,30,5,1.0,11,100.0,8.396755373953475,0.0,8.396755373953475,1.2927057782369997,5.812214216613158
AMD_365,30,11,1.0,9,88.88888888888889,10.278174491047437,-3.4205745869388218,8.756091260160076,1.3300882095874023,4.988414704320954
AVGO_365,32,11,1.0,13,69.23076923076923,12.093519091286876,-1.4544823261204682,7.924903270546154,0.9473252700038102,6.127157072823149
SMCI_365,34,11,1.0,10,40.0,46.31787680038983,-11.955518352922661,11.353839708402337,0.2877789134821827,6.0036594197146576
PLTR_365,30,9,1.0,5,80.0,19.290540848307586,-2.6087014210920745,14.910692394427652,1.5214482527919293,4.8619654431779065
CRWD_365,34,10,1.0,15,53.333333333333336,11.319533565082832,-3.2129054832991932,4.537728675837886,0.45286555699883535,3.7115436605223504
NET_365,34,10,1.0,9,66.66666666666666,10.469681156487924,-12.966078132324943,2.6577613935503015,0.1996475097245927,1.243748017027439
